cluster_name,total_mentions,distinct_calls,confidence,safety_nonsafety_bleed,has_deployment_blocker,evidence_source,member_labels,evidence_sample
ergonomic risk detection improper bending overreaching,18,18,HIGH,False,False,mixed,employee ergonomics monitoring improper bending and overreaching | ergonomic improper bending and overreaching reduction | ergonomic improper bending detection | ergonomic risk detection improper bend overreaching | ergonomic risk detection improper bending and overreaching | ergonomic risk detection improper bending overreaching | ergonomic risk detection improper bends and overreach | ergonomic risk detection overreaching improper bend | ergonomic risk identification improper bend lift using posture risk index | ergonomic risk reduction overreaches improper bends | ergonomics improper bend detection | ergonomics improper bending detection | ergonomics monitoring overreaching improper bends | ergonomics risk detection improper bending overreaching heavy lifts | ergonomics risk detection improper bends and overreach | ergonomics risk detection overreaching improper lifting | ergonomics risk detection posture risk index for bends and overreach | ergonomics risk monitoring and mitigation overreach improper bending,"Indigo Keller: We've had several injuries this year resulting from, you know, body mechanics and things like that. | Bailey Calloway: We've had, in the last month, we've had two shoulders. | Bailey Calloway: Their injuries from employees kind of overreaching, filling an order, pulling material off o"
ergonomics risk monitoring,14,14,LOW,False,True,mixed,ergonomic risk assessment via cameras | ergonomic risk detection and multi actor capture | ergonomic risk monitoring and mitigation in manual operations | ergonomic risk monitoring for manual handling | ergonomic risk monitoring overreaching improper bend | ergonomics monitoring for strains and sprains posture risk index with corrective actions | ergonomics risk detection | ergonomics risk detection at presses workstations | ergonomics risk detection with heat maps | ergonomics risk detection with severity scoring posture risk index | ergonomics risk monitoring | material handling and ergonomics risk detection,"Robin Oakley: Well, ergonomics for sure. | Robin Oakley: I we do a lot more manual stuff because we're a smaller scale mill where we do a lot of manual roll wrapping and pulling broke, which we'll call pulling broke, which leads to, I'll call it ergonomic issues, strains, and things like that. | Rob"
ppe compliance monitoring,11,11,HIGH,False,False,mixed,ppe compliance monitoring | ppe compliance monitoring in production areas | ppe compliance monitoring including eye protection | ppe compliance monitoring including hot work ppe,"Unknown: And by the Big Brother side of it is, I need to know if we have a cell of people that as soon as the door's shut, they're not wearing their PPE. | Unknown: So I can more organically address that. | Unknown: Well, and I think that we do have a culture of cameras here already. | Unknown: Yeah"
pit to pit proximity monitoring,12,10,HIGH,False,False,mixed,person to pit proximity monitoring | pit pedestrian and pit to pit proximity | pit pit interaction monitoring | pit pit proximity monitoring | pit proximity monitoring person to pit and pit to pit | pit to pedestrian and pit to pit proximity monitoring | pit to person proximity monitoring | pit to pit collision proximity monitoring | pit to pit proximity collision monitoring | pit to pit proximity detection | pit to pit proximity monitoring,"Bellamy Warren: As far as a little bit of feedback on the pit to pits and the person to pits, it's triggering a lot | Bellamy Warren: I'm keeping away, I guess, because I'm kind of more frustrated on the person to pit and the pit to pitch just because of the ranging. It'll trigger at anything, basic"
forklift and pedestrian proximity monitoring,9,9,HIGH,False,False,customer,forklift aisle and pedestrian walkway safety monitoring | forklift and pedestrian proximity monitoring | forklift and pedestrian proximity monitoring pit to person and pit to pit | forklift and pedestrian safety monitoring | forklift and vehicle pedestrian interaction monitoring | forklift pedestrian proximity and walkway compliance monitoring | forklift pedestrian proximity monitoring during renovation at van buren freezer | forklift pit and pedestrian safety monitoring | monitor and reduce forklift pedestrian interactions pit to person,"Alex Hale: Well, and also for that matter, timing-wise, we are going to be entering a rather large construction shutdown at, so the Van Buren freezers attached to our Van Buren cook facility. | Alex Hale: And the cook facility is going to be going through a significant renovation and part of it righ"
no pedestrian zone enforcement,7,6,MEDIUM,True,False,mixed,no parking zone enforcement | no pedestrian zone enforcement | no pedestrian zone enforcement blended safety and security | no pedestrian zone intrusion | no pedestrian zones and obstruction control,"Unknown: No pedestrian zone. This could be used for safety or security. | Unknown: From a safety perspective here, you're going to see this area right here where the rollers are, and they don't want anyone in the roller area. | Unknown: Think about your loading docks, your back of buildings, some of"
ergonomics detection and coaching reduce injuries and costs,6,5,MEDIUM,True,False,mixed,ergonomic risk detection and coaching | ergonomics detection and coaching reduce injuries and costs | ergonomics risk detection and coaching | ergonomics risk reduction via safety orientation and targeted coaching | improper bend ergonomics detection and coaching,"Unknown: it seems like I remember you had the abilities to recognize. We poor ergonomics, poor lifting techniques. | Unknown: We have a lot of ergonomic issues here, and we have a lot of manual work here. | Unknown: And just being able to call that out and do corrections almost in real time would be"
working at heights hazard detection,4,4,HIGH,False,False,mixed,working at heights hazard detection | working at heights hazard detection in mills | working at heights risk detection,"Jules Blaine: But we've got some new use cases surrounding working at heights. | Jules Blaine: And so working at heights brings about a plethora of, I won't say notification, but incidents, near-miss incidents to us. | Jules Blaine: And what we have found with that working at heights, we have found "
pit pedestrian proximity monitoring in drive lanes,4,4,HIGH,False,False,mixed,pit pedestrian proximity monitoring | pit pedestrian proximity monitoring and walkway zoning coverage | pit pedestrian proximity monitoring in drive lanes | pit to pedestrian proximity alerts,"Gale Hadley: But they have, like, designated walkways, right? | Gale Hadley: Unfortunately, we don't have that as clearly defined here. | Gale Hadley: So we are having kind of what we call, like. False readings, and I'd like to kind of sit down and go through that with you again and see if we can ki"
pit pedestrian interaction monitoring and reduction,4,4,HIGH,False,False,mixed,pit and pedestrian interaction risk monitoring | pit pedestrian interaction monitoring | pit pedestrian interaction monitoring and reduction | pit pedestrian proximity and interaction monitoring,"Aubrey Reeves: looking at something specifically like pedestrian PIV interaction, which has a higher severity, would allow us to become familiar with the system while, you know, learning the data coming through and what we do with it and how we can manage it, right? | Jules Harlow: there's lots of l"
